Device Type, Ticks, Data0, Data1
2, 7027, 5, 1935
1, 7044, 90, 93
2, 7052, 0, 1969
1, 7075, 93, 90
2, 7077, 0, 2282
1, 7106, 92, 93
2, 7106, 1, 1893
2, 7131, 0, 2067
1, 7136, 92, 89
2, 7156, 0, 2345
1, 7167, 92, 91
2, 7181, 3, 1823
1, 7198, 89, 89
2, 7206, 0, 2938
1, 7229, 90, 90
2, 7231, 0, 2005
1, 7259, 89, 93
2, 7260, 0, 2398
2, 7285, 0, 1516
1, 7290, 89, 90
2, 7310, 0, 2167
1, 7321, 92, 91
2, 7335, 0, 2335
1, 7352, 92, 96
2, 7360, 0, 1558
1, 7383, 95, 100
2, 7385, 1, 1805
1, 7414, 94, 97
2, 7414, 0, 2010
2, 7439, 5, 1957
1, 7444, 93, 99
2, 7464, 4, 2389
1, 7475, 92, 94
2, 7489, 2, 2150
1, 7506, 97, 95
2, 7514, 1, 1935
1, 7537, 89, 98
2, 7539, 76, 2972
1, 7568, 90, 94
2, 7568, 0, 3159
2, 7593, 9, 3236
1, 7598, 89, 91
2, 7618, 14, 2412
1, 7629, 85, 93
2, 7643, 0, 1295
1, 7660, 85, 97
2, 7668, 0, 2224
1, 7691, 88, 98
2, 7693, 0, 2441
1, 7722, 91, 93
2, 7722, 3, 1725
2, 7747, 4, 2005
1, 7752, 89, 93
2, 7772, 2, 1827
1, 7783, 86, 93
2, 7797, 0, 1566
1, 7814, 92, 94
2, 7822, 11, 1316
1, 7845, 91, 88
2, 7847, 0, 888
1, 7876, 90, 95
2, 7876, 0, 1225
2, 7901, 4, 1988
1, 7906, 92, 92
2, 7926, 0, 2236
0, 7929, 555, 0
4, 7929, 0, 780
1, 7937, 95, 95
2, 7951, 0, 2297
0, 7961, 497, 0
4, 7961, 0, 766
1, 7968, 93, 93
2, 7976, 0, 1993
0, 7992, 476, 0
4, 7992, 0, 763
1, 7999, 98, 95
2, 8001, 55, 1552
0, 8023, 442, 0
4, 8023, 0, 769
1, 8030, 97, 94
2, 8030, 28, 1570
0, 8054, 411, 0
4, 8054, 0, 764
2, 8055, 11, 1126
1, 8061, 96, 90
2, 8080, 0, 1788
0, 8085, 375, 0
4, 8085, 0, 769
1, 8091, 93, 95
2, 8105, 0, 1622
0, 8116, 354, 0
4, 8116, 0, 767
1, 8122, 94, 97
2, 8130, 0, 1217
0, 8147, 322, 0
4, 8147, 0, 773
1, 8153, 93, 96
2, 8155, 0, 1902
0, 8178, 287, 0
4, 8178, 0, 778
1, 8184, 92, 94
2, 8184, 26, 0
0, 8209, 260, 0
4, 8209, 0, 775
2, 8209, 0, 3574
1, 8215, 97, 102
2, 8234, 12, 2899
0, 8240, 231, 0
4, 8240, 0, 771
1, 8246, 95, 99
2, 8259, 2, 2806
0, 8271, 199, 0
4, 8271, 0, 779
4, 8271, 0, 779
6, 8582, 0, 0
5, 8583, 0, 0
5, 8684, 0, 11
5, 8785, 0, 34
5, 8886, 0, 59
5, 8987, 0, 86
5, 9088, 0, 91
5, 9189, 0, 84
5, 9290, 0, 88
2, 9454, 0, 2030
1, 9459, 63, 61
2, 9479, 0, 1442
1, 9493, 59, 58
2, 9504, 0, 2057
1, 9523, 63, 59
2, 9529, 5, 2345
1, 9554, 60, 63
2, 9554, 3, 1906
2, 9579, 3, 2234
1, 9585, 61, 62
2, 9604, 4, 1834
1, 9615, 67, 60
2, 9629, 0, 2759
1, 9646, 65, 62
2, 9654, 0, 2822
1, 9677, 70, 64
2, 9679, 0, 3293
1, 9708, 72, 64
2, 9708, 0, 379
2, 9733, 46, 3847
1, 9738, 79, 69
2, 9758, 6, 0
1, 9769, 86, 68
2, 9783, 35, 495
1, 9800, 91, 75
2, 9808, 163, 3021
1, 9830, 93, 75
2, 9833, 157, 3883
1, 9861, 92, 78
2, 9861, 0, 2667
2, 9886, 0, 4573
1, 9892, 90, 78
2, 9911, 0, 4477
1, 9923, 88, 84
2, 9936, 103, 0
1, 9953, 87, 84
2, 9961, 99, 2233
1, 9984, 92, 87
2, 9986, 87, 3796
1, 10015, 96, 82
2, 10015, 55, 2397
2, 10040, 146, 660
1, 10045, 100, 91
2, 10065, 93, 4400
1, 10076, 100, 88
2, 10090, 89, 3425
1, 10107, 106, 88
2, 10115, 0, 1043
1, 10138, 107, 89
2, 10140, 53, 2399
1, 10168, 114, 95
2, 10169, 0, 4380
2, 10194, 0, 2586
1, 10199, 112, 101
2, 10219, 86, 3326
1, 10230, 115, 101
2, 10244, 0, 2587
1, 10261, 106, 113
2, 10269, 0, 3438
1, 10291, 106, 120
2, 10294, 0, 3340
1, 10322, 107, 132
2, 10322, 4, 4078
2, 10347, 0, 1539
1, 10353, 108, 133
2, 10372, 18, 1301
1, 10384, 98, 134
2, 10397, 2, 1557
1, 10415, 98, 128
2, 10422, 9, 1502
1, 10445, 99, 124
2, 10447, 12, 1745
1, 10476, 94, 123
2, 10476, 0, 1881
2, 10501, 0, 2158
1, 10507, 90, 120
2, 10526, 0, 2116
0, 10535, 876, 0
4, 10535, 3, 802
1, 10540, 86, 113
2, 10551, 0, 2102
0, 10560, 830, 0
4, 10560, 3, 812
1, 10568, 81, 113
2, 10576, 0, 2095
0, 10591, 807, 0
4, 10591, 3, 818
1, 10599, 75, 105
2, 10601, 19, 2517
0, 10622, 830, 0
4, 10622, 3, 817
1, 10630, 72, 102
2, 10630, 0, 186
0, 10653, 790, 0
4, 10653, 3, 822
2, 10655, 0, 326
1, 10661, 66, 95
2, 10680, 0, 1040
0, 10684, 766, 0
4, 10684, 3, 819
1, 10691, 62, 90
2, 10705, 19, 1913
0, 10715, 748, 0
4, 10715, 2, 824
1, 10722, 55, 84
2, 10730, 0, 1390
0, 10746, 737, 0
4, 10746, 3, 822
1, 10753, 53, 79
2, 10755, 24, 1172
0, 10777, 728, 0
4, 10777, 3, 825
1, 10784, 53, 74
2, 10784, 17, 1175
0, 10808, 709, 0
4, 10808, 3, 825
2, 10809, 4, 1968
1, 10814, 52, 69
2, 10834, 0, 2010
0, 10839, 699, 0
4, 10839, 4, 828
1, 10845, 43, 66
2, 10859, 0, 1596
0, 10870, 662, 0
4, 10870, 4, 828
1, 10876, 43, 63
2, 10884, 0, 2250
0, 10901, 639, 0
4, 10901, 4, 832
1, 10906, 40, 56
2, 10909, 2, 1641
0, 10932, 605, 0
4, 10932, 4, 835
1, 10937, 33, 56
2, 10937, 0, 925
0, 10963, 578, 0
4, 10963, 3, 837
2, 10963, 1, 550
1, 10968, 28, 50
2, 10988, 12, 1546
0, 10994, 558, 0
4, 10994, 3, 840
1, 10999, 30, 52
2, 11013, 5, 1519
0, 11025, 541, 0
4, 11025, 3, 838
1, 11030, 27, 45
