Device Type, Ticks, Data0, Data1
2, 31537, 0, 2472
1, 31547, 93, 90
2, 31562, 0, 1997
1, 31578, 92, 94
2, 31587, 8, 2052
1, 31609, 89, 94
2, 31612, 0, 2178
1, 31639, 89, 91
2, 31640, 6, 1739
2, 31665, 7, 2137
1, 31670, 89, 87
2, 31690, 21, 2810
1, 31701, 88, 91
2, 31715, 0, 1713
1, 31732, 89, 91
2, 31740, 0, 2148
1, 31762, 92, 91
2, 31765, 0, 2714
1, 31793, 96, 96
2, 31793, 0, 2630
2, 31818, 0, 1873
1, 31824, 93, 96
2, 31843, 9, 1772
1, 31855, 92, 96
2, 31868, 2, 2487
1, 31885, 94, 94
2, 31893, 0, 1738
1, 31916, 91, 95
2, 31918, 0, 1536
1, 31947, 95, 95
2, 31947, 2, 1891
2, 31972, 5, 1866
1, 31977, 94, 93
2, 31997, 6, 2061
1, 32008, 97, 91
2, 32022, 0, 1951
1, 32039, 96, 95
2, 32047, 17, 3598
1, 32070, 92, 93
2, 32072, 0, 2077
1, 32100, 89, 97
2, 32101, 1, 1842
2, 32126, 0, 2266
1, 32131, 92, 95
2, 32151, 7, 2172
1, 32162, 86, 101
2, 32176, 11, 1587
1, 32193, 88, 93
2, 32201, 0, 1578
1, 32223, 92, 91
2, 32226, 7, 1550
1, 32254, 91, 91
2, 32254, 10, 2019
2, 32279, 7, 2175
1, 32285, 94, 95
2, 32304, 2, 1863
1, 32315, 96, 96
2, 32329, 0, 1963
1, 32346, 96, 92
2, 32354, 0, 2314
1, 32377, 98, 95
2, 32379, 0, 75
1, 32408, 95, 94
2, 32408, 0, 1453
2, 32433, 0, 2394
1, 32438, 93, 96
0, 32441, 534, 0
4, 32441, 0, 766
0, 32454, 490, 0
4, 32454, 0, 764
2, 32458, 0, 1094
1, 32469, 93, 97
0, 32485, 468, 0
4, 32485, 0, 767
2, 32485, 32, 2349
1, 32500, 95, 92
2, 32510, 1, 1841
0, 32516, 440, 0
4, 32516, 0, 757
1, 32531, 90, 98
2, 32535, 15, 2394
0, 32547, 406, 0
4, 32547, 0, 766
1, 32561, 95, 99
2, 32562, 0, 2409
0, 32578, 378, 0
4, 32578, 0, 780
2, 32586, 0, 2277
1, 32592, 96, 96
0, 32609, 353, 0
4, 32609, 0, 769
2, 32611, 0, 2537
1, 32623, 96, 100
2, 32636, 0, 1504
0, 32640, 320, 0
4, 32640, 0, 772
1, 32654, 96, 101
2, 32661, 0, 2236
0, 32671, 289, 0
4, 32671, 0, 776
1, 32684, 96, 98
2, 32686, 57, 3991
0, 32702, 257, 0
4, 32702, 0, 771
1, 32715, 99, 98
2, 32715, 0, 1731
0, 32733, 226, 0
4, 32733, 0, 770
2, 32740, 8, 2397
1, 32746, 93, 101
0, 32763, 201, 0
4, 32763, 0, 778
2, 32765, 0, 2320
1, 32777, 93, 101
2, 32790, 9, 2286
0, 32794, 168, 0
4, 32794, 0, 782
4, 32795, 0, 782
6, 33106, 0, 0
5, 33108, 0, 0
5, 33209, 0, 8
5, 33310, 0, 28
5, 33411, 0, 49
5, 33512, 0, 72
5, 33613, 0, 88
5, 33714, 0, 81
5, 33815, 0, 84
2, 33978, 0, 1983
1, 33983, 63, 58
1, 34005, 61, 59
2, 34005, 4, 1951
2, 34030, 0, 1945
1, 34036, 62, 58
2, 34055, 0, 2251
1, 34067, 62, 62
2, 34080, 10, 1787
1, 34097, 63, 59
2, 34105, 0, 3075
1, 34128, 64, 58
2, 34130, 0, 2889
1, 34159, 65, 64
2, 34159, 0, 0
2, 34184, 56, 3678
1, 34189, 67, 64
2, 34209, 0, 3283
1, 34220, 75, 64
2, 34234, 23, 3606
1, 34251, 84, 64
2, 34259, 48, 0
1, 34281, 86, 69
2, 34284, 110, 1988
1, 34312, 88, 73
2, 34313, 127, 3978
2, 34337, 131, 4144
1, 34343, 87, 73
2, 34362, 0, 3016
1, 34374, 91, 78
2, 34387, 106, 2617
1, 34405, 91, 78
2, 34412, 97, 1118
1, 34435, 85, 83
2, 34437, 76, 3613
1, 34466, 85, 87
2, 34467, 34, 1194
2, 34491, 204, 0
1, 34497, 81, 94
2, 34516, 318, 3739
1, 34528, 75, 91
2, 34541, 125, 4542
1, 34559, 73, 92
2, 34566, 100, 1233
