Device Type, Ticks, Data0, Data1

2, 6001, 0, 2069
1, 6024, 85, 85
2, 6026, 0, 1582
1, 6055, 84, 87
2, 6056, 0, 2277
2, 6080, 0, 1825
1, 6086, 84, 86
2, 6105, 4, 2088
1, 6117, 84, 89
2, 6130, 0, 1760
1, 6148, 86, 87
2, 6155, 18, 89
1, 6178, 84, 85
2, 6180, 8, 2252
1, 6209, 83, 89
2, 6210, 6, 2338
2, 6234, 10, 2168
1, 6240, 85, 86
2, 6259, 0, 2343
1, 6271, 84, 83
2, 6284, 0, 1583
1, 6302, 87, 87
2, 6309, 0, 2387
1, 6332, 85, 88
2, 6334, 0, 1428
1, 6363, 86, 89
2, 6364, 0, 1248
2, 6388, 0, 1879
1, 6394, 84, 91
2, 6413, 0, 1831
1, 6425, 85, 87
2, 6438, 3, 1652
1, 6455, 84, 88
2, 6463, 13, 2326
1, 6486, 89, 91
2, 6488, 17, 1878
1, 6517, 89, 86
2, 6517, 58, 3569
2, 6542, 0, 1398
1, 6548, 91, 86
2, 6567, 1, 2096
1, 6579, 89, 88
2, 6592, 0, 2060
1, 6609, 87, 88
2, 6617, 0, 1204
1, 6640, 87, 92
2, 6642, 0, 1851
1, 6671, 88, 90
2, 6671, 7, 2377
2, 6696, 5, 2276
1, 6702, 91, 96
2, 6721, 7, 2331
1, 6733, 90, 91
2, 6746, 10, 2621
1, 6763, 92, 94
2, 6771, 10, 2319
1, 6794, 90, 94
2, 6796, 19, 2149
1, 6825, 89, 93
2, 6825, 4, 2584
2, 6850, 0, 2260
1, 6856, 92, 89
2, 6875, 0, 2866
1, 6887, 93, 93
2, 6900, 0, 2779
0, 6903, 518, 0
4, 6903, 0, 778
1, 6917, 96, 95
2, 6925, 0, 1915
0, 6933, 482, 0
4, 6933, 0, 771
1, 6948, 97, 95
2, 6950, 0, 1792
0, 6964, 462, 0
4, 6964, 0, 772
1, 6979, 96, 95
2, 6979, 0, 2570
0, 6995, 432, 0
4, 6995, 0, 771
2, 7004, 7, 2695
1, 7010, 95, 101
0, 7026, 403, 0
4, 7026, 0, 770
2, 7029, 14, 1628
1, 7040, 94, 100
2, 7054, 13, 2009
0, 7057, 377, 0
4, 7057, 0, 767
1, 7071, 94, 100
2, 7079, 2, 2166
0, 7087, 340, 0
4, 7087, 0, 773
1, 7102, 93, 95
2, 7104, 7, 2271
0, 7118, 313, 0
4, 7118, 0, 779
1, 7133, 96, 98
2, 7133, 0, 1177
0, 7149, 275, 0
4, 7149, 0, 784
2, 7158, 42, 3626
1, 7164, 94, 99
0, 7180, 245, 0
4, 7180, 0, 778
2, 7183, 0, 1569
1, 7194, 93, 99
2, 7208, 0, 752
0, 7211, 215, 0
4, 7211, 0, 786
1, 7225, 92, 103
2, 7233, 1, 1219
0, 7242, 185, 0
4, 7242, 0, 786
4, 7243, 0, 786
6, 7557, 0, 0
5, 7559, 0, 0
5, 7660, 0, 10
5, 7761, 0, 24
5, 7862, 0, 49
