Device Type, Ticks, Data0, Data1
1, 10030, 101, 102
2, 10031, 0, 1897
0, 10056, 677, 0
4, 10056, 0, 817
2, 10057, 0, 1528
1, 10061, 104, 105
2, 10081, 1, 1945
0, 10087, 645, 0
4, 10087, 0, 825
1, 10092, 103, 99
2, 10106, 0, 1970
0, 10118, 610, 0
4, 10118, 0, 828
1, 10123, 106, 102
2, 10131, 4, 1515
0, 10149, 589, 0
4, 10149, 0, 834
1, 10154, 104, 103
2, 10156, 4, 1931
0, 10180, 564, 0
4, 10180, 0, 827
1, 10185, 106, 101
2, 10185, 7, 2193
0, 10211, 531, 0
4, 10211, 0, 830
2, 10211, 0, 1600
1, 10216, 106, 104
2, 10236, 0, 1864
0, 10242, 509, 0
4, 10242, 0, 822
1, 10247, 111, 104
2, 10261, 0, 2158
0, 10273, 477, 0
4, 10273, 0, 819
1, 10278, 105, 104
2, 10286, 0, 2422
0, 10304, 445, 0
4, 10304, 0, 816
1, 10309, 110, 108
2, 10311, 0, 1166
1, 10337, 104, 108
0, 10340, 412, 0
4, 10340, 0, 817
2, 10340, 0, 1538
1, 10368, 103, 109
0, 10370, 385, 0
4, 10370, 0, 833
2, 10371, 0, 1943
1, 10399, 104, 109
0, 10401, 364, 0
4, 10401, 0, 820
2, 10402, 7, 1883
1, 10430, 106, 105
0, 10432, 329, 0
4, 10432, 0, 837
2, 10433, 4, 1949
1, 10460, 103, 111
0, 10463, 300, 0
4, 10463, 0, 830
2, 10463, 13, 1510
1, 10491, 97, 109
0, 10494, 268, 0
4, 10494, 0, 838
2, 10494, 0, 0
1, 10522, 96, 104
0, 10525, 237, 0
4, 10525, 0, 843
2, 10525, 0, 1441
1, 10553, 99, 108
0, 10556, 211, 0
4, 10556, 0, 848
2, 10556, 0, 1448
1, 10584, 95, 108
0, 10586, 176, 0
4, 10586, 0, 848
4, 10587, 0, 848
2, 10620, 3, 479
1, 10625, 94, 107
0, 10628, 146, 0
4, 10628, 0, 861
4, 10629, 0, 861
2, 10662, 3, 1924
1, 10667, 99, 99
0, 10669, 115, 0
4, 10669, 0, 838
4, 10670, 0, 838
2, 10703, 6, 1689
1, 10708, 91, 101
0, 10711, 53, 0
4, 10711, 0, 867
4, 10711, 0, 867
2, 10745, 0, 992
1, 10750, 90, 102
0, 10752, 22, 0
4, 10752, 0, 889
4, 10753, 0, 889
2, 10786, 10, 2227
1, 10791, 91, 99
0, 10794, 9, 0
4, 10794, 0, 886
4, 10795, 0, 886
2, 10828, 52, 4265
1, 10833, 91, 103
0, 10836, 7, 0
4, 10836, 0, 885
4, 10836, 0, 885
2, 10870, 0, 2473
1, 10874, 96, 111
0, 10877, 4, 0
4, 10877, 0, 889
4, 10878, 0, 889
2, 10911, 25, 2442
1, 10916, 97, 102
0, 10919, 0, 0
4, 10919, 0, 886
4, 10919, 0, 886
2, 10953, 0, 2719
1, 10958, 104, 101
0, 10960, 15, 0
4, 10960, 0, 895
4, 10961, 0, 895
2, 10994, 0, 2362
1, 10999, 101, 108
0, 11002, 16, 0
4, 11002, 0, 886
4, 11002, 0, 886
2, 11037, 29, 2825
1, 11042, 104, 109
0, 11044, 16, 0
4, 11044, 0, 900
1, 11053, 97, 111
2, 11062, 0, 2639
0, 11074, 2, 0
4, 11074, 0, 886
4, 11075, 0, 886
2, 11109, 14, 853
1, 11114, 99, 113
0, 11117, 8, 0
4, 11117, 0, 892
4, 11117, 0, 892
2, 11151, 0, 2096
1, 11156, 102, 116
0, 11158, 7, 0
4, 11158, 0, 895
4, 11159, 0, 895
2, 11192, 0, 2313
1, 11197, 100, 110
0, 11200, 6, 0
4, 11200, 0, 872
4, 11200, 0, 872
2, 11234, 3, 2190
1, 11239, 100, 109
0, 11241, 3, 0
4, 11241, 0, 893
4, 11242, 0, 893
2, 11275, 0, 1749
1, 11280, 101, 112
0, 11283, 6, 0
4, 11283, 0, 892
4, 11283, 0, 892
2, 11317, 0, 2120
1, 11322, 102, 112
0, 11324, 3, 0
4, 11324, 0, 780
4, 11325, 0, 780
2, 11358, 3, 1977
1, 11363, 104, 111
0, 11366, 2, 0
4, 11366, 0, 1001
0, 11382, 8, 0
4, 11382, 0, 909
2, 11383, 2, 2194
1, 11392, 104, 115
2, 11408, 1, 2127
0, 11413, 6, 0
4, 11413, 0, 880
4, 11413, 0, 880
2, 11447, 0, 2078
1, 11452, 102, 111
0, 11454, 8, 0
4, 11454, 0, 888
4, 11455, 0, 888
2, 11488, 1, 2312
1, 11493, 100, 111
0, 11496, 6, 0
4, 11496, 0, 891
4, 11496, 0, 891
2, 11530, 0, 1902
1, 11535, 101, 111
0, 11537, 6, 0
4, 11537, 0, 890
4, 11538, 0, 890
2, 11571, 0, 2098
1, 11576, 100, 116
0, 11578, 3, 0
4, 11578, 0, 893
4, 11579, 0, 893
2, 11613, 0, 1847
1, 11617, 100, 111
0, 11620, 4, 0
4, 11620, 0, 884
4, 11621, 0, 884
2, 11654, 0, 1990
1, 11659, 101, 116
0, 11661, 8, 0
4, 11661, 0, 883
4, 11662, 0, 883
2, 11695, 2, 2104
1, 11700, 102, 116
0, 11703, 6, 0
4, 11703, 0, 881
4, 11704, 0, 881
2, 11737, 0, 2122
1, 11742, 101, 115
0, 11744, 5, 0
4, 11744, 0, 886
4, 11745, 0, 886
2, 11779, 4, 2125
1, 11783, 98, 115
0, 11786, 8, 0
4, 11786, 0, 880
4, 11787, 0, 880
2, 11820, 7, 1974
1, 11825, 103, 112
0, 11827, 4, 0
4, 11827, 0, 874
4, 11828, 0, 874
2, 11862, 4, 2279
1, 11867, 102, 117
0, 11869, 3, 0
4, 11869, 0, 885
4, 11870, 0, 885
2, 11903, 0, 2199
1, 11908, 101, 111
0, 11911, 8, 0
4, 11911, 0, 892
4, 11911, 0, 892
2, 11945, 0, 1971
1, 11950, 104, 116
0, 11952, 6, 0
4, 11952, 0, 888
4, 11953, 0, 888
2, 11986, 0, 1853
1, 11991, 102, 111
0, 11994, 8, 0
4, 11994, 0, 890
4, 11994, 0, 890
2, 12028, 2, 2054
1, 12033, 102, 113
0, 12035, 7, 0
4, 12035, 0, 891
4, 12036, 0, 891
2, 12069, 0, 2206
1, 12074, 100, 111
0, 12077, 5, 0
4, 12077, 0, 888
4, 12078, 0, 888
2, 12111, 0, 1837
1, 12116, 100, 113
0, 12118, 4, 0
4, 12118, 0, 876
4, 12119, 0, 876
2, 12153, 0, 2101
1, 12157, 101, 112
0, 12160, 6, 0
4, 12160, 0, 898
4, 12161, 0, 898
2, 12194, 0, 1995
1, 12199, 101, 112
0, 12201, 7, 0
4, 12201, 0, 892
4, 12202, 0, 892
2, 12236, 0, 2260
1, 12241, 104, 109
0, 12243, 9, 0
4, 12243, 0, 893
4, 12244, 0, 893
2, 12277, 2, 2453
1, 12282, 101, 111
0, 12285, 10, 0
4, 12285, 0, 885
4, 12285, 0, 885
2, 12320, 7, 2329
1, 12325, 102, 116
0, 12327, 5, 0
4, 12327, 0, 879
4, 12328, 0, 879
2, 12361, 9, 2151
1, 12366, 98, 114
0, 12369, 6, 0
4, 12369, 0, 885
4, 12370, 0, 885
2, 12403, 8, 2039
1, 12408, 102, 115
0, 12410, 3, 0
4, 12410, 0, 892
4, 12411, 0, 892
2, 12445, 6, 2326
1, 12449, 105, 110
0, 12452, 1, 0
4, 12452, 0, 895
4, 12453, 0, 895
2, 12486, 4, 2049
1, 12491, 102, 112
0, 12494, 7, 0
4, 12494, 0, 876
4, 12494, 0, 876
2, 12528, 0, 2208
1, 12533, 103, 113
0, 12535, 1, 0
4, 12535, 0, 898
4, 12536, 0, 898
2, 12569, 0, 1788
1, 12574, 102, 113
0, 12577, 7, 0
4, 12577, 0, 891
4, 12577, 0, 891
2, 12611, 0, 2246
1, 12616, 100, 109
0, 12618, 7, 0
4, 12618, 0, 891
4, 12619, 0, 891
2, 12653, 0, 1963
1, 12657, 103, 110
0, 12660, 5, 0
4, 12660, 0, 889
4, 12661, 0, 889
2, 12694, 0, 1565
1, 12699, 101, 113
0, 12701, 9, 0
4, 12701, 0, 891
4, 12702, 0, 891
2, 12736, 0, 2116
1, 12741, 102, 116
0, 12743, 7, 0
4, 12743, 0, 891
4, 12744, 0, 891
2, 12777, 0, 2055
1, 12782, 101, 114
0, 12785, 6, 0
4, 12785, 0, 888
