Device Type, Ticks, Data0, Data1
5, 6864, 0, 20
5, 6865, 0, 21
5, 6866, 0, 21
5, 6867, 0, 21
5, 6868, 0, 21
5, 6869, 0, 21
5, 6870, 0, 22
5, 6871, 0, 22
5, 6872, 0, 22
5, 6873, 0, 22
5, 6874, 0, 22
5, 6875, 0, 23
5, 6876, 0, 23
5, 6877, 0, 23
5, 6878, 0, 23
5, 6879, 0, 23
5, 6880, 0, 24
5, 6881, 0, 24
5, 6882, 0, 24
5, 6883, 0, 24
5, 6884, 0, 24
5, 6885, 0, 25
5, 6886, 0, 25
5, 6887, 0, 25
5, 6888, 0, 25
5, 6889, 0, 26
5, 6890, 0, 26
5, 6891, 0, 26
5, 6892, 0, 26
5, 6893, 0, 26
5, 6894, 0, 27
5, 6895, 0, 27
5, 6896, 0, 27
5, 6897, 0, 27
5, 6898, 0, 27
5, 6899, 0, 28
5, 6900, 0, 28
5, 6901, 0, 28
5, 6902, 0, 28
5, 6903, 0, 28
5, 6904, 0, 29
5, 6905, 0, 29
5, 6906, 0, 29
5, 6907, 0, 29
5, 6908, 0, 29
5, 6909, 0, 30
5, 6910, 0, 30
5, 6911, 0, 30
5, 6912, 0, 30
5, 6913, 0, 30
5, 6914, 0, 31
5, 6915, 0, 31
5, 6916, 0, 31
5, 6917, 0, 31
5, 6918, 0, 32
5, 6919, 0, 32
5, 6920, 0, 32
5, 6921, 0, 32
5, 6922, 0, 32
5, 6923, 0, 33
5, 6924, 0, 33
5, 6925, 0, 33
5, 6926, 0, 33
5, 6927, 0, 34
5, 6928, 0, 34
5, 6929, 0, 34
5, 6930, 0, 34
5, 6931, 0, 35
5, 6932, 0, 35
5, 6933, 0, 35
5, 6934, 0, 35
5, 6935, 0, 36
5, 6936, 0, 36
5, 6937, 0, 36
5, 6938, 0, 36
5, 6939, 0, 37
5, 6940, 0, 37
5, 6941, 0, 37
5, 6942, 0, 37
5, 6943, 0, 38
5, 6944, 0, 38
5, 6945, 0, 38
5, 6946, 0, 38
5, 6947, 0, 39
5, 6948, 0, 39
5, 6949, 0, 39
5, 6950, 0, 39
5, 6951, 0, 40
5, 6952, 0, 40
5, 6953, 0, 40
5, 6954, 0, 40
5, 6955, 0, 41
5, 6956, 0, 41
5, 6957, 0, 41
5, 6958, 0, 42
5, 6959, 0, 42
5, 6960, 0, 42
5, 6961, 0, 42
5, 6962, 0, 43
5, 6963, 0, 43
5, 6964, 0, 43
5, 6965, 0, 43
5, 6966, 0, 44
5, 6967, 0, 44
5, 6968, 0, 44
5, 6969, 0, 44
5, 6970, 0, 45
5, 6971, 0, 45
5, 6972, 0, 45
5, 6973, 0, 46
5, 6974, 0, 46
5, 6975, 0, 46
5, 6976, 0, 46
5, 6977, 0, 47
5, 6978, 0, 47
5, 6979, 0, 47
5, 6980, 0, 48
5, 6981, 0, 48
5, 6982, 0, 48
5, 6983, 0, 48
5, 6984, 0, 49
5, 6985, 0, 49
5, 6986, 0, 49
5, 6987, 0, 49
5, 6988, 0, 50
5, 6989, 0, 50
5, 6990, 0, 50
5, 6991, 0, 50
5, 6992, 0, 51
